Name,FIPS,"# Computers In Household | Households, 2021 [Estimated]"
"Clark County, ID",16033,313
"Clark County, IL",17023,6762
"Clark County, IN",18019,44720
"Clark County, KS",20025,853
"Clark County, KY",21049,14600
"Clark County, MO",29045,2709
"Clark County, NV",32003,806472
"Clark County, OH",39023,54407
"Clark County, SD",46025,1563
"Clark County, WA",53011,179490
"Clark County, WI",55019,12777
"Clarke County, AL",1025,8929
"Clarke County, GA",13059,50474
"Clarke County, IA",19039,3932
"Clarke County, MS",28023,6048
"Clarke County, VA",51043,5651
"Clatsop County, OR",41007,15775
"Clay County, AL",1027,5065
"Clay County, AR",5021,6299
"Clay County, FL",12019,76555
"Clay County, GA",13061,1251
"Clay County, IA",19041,7188
"Clay County, IL",17025,5765
"Clay County, IN",18021,10553
"Clay County, KS",20027,3535
"Clay County, KY",21051,7561
"Clay County, MN",27027,25010
"Clay County, MO",29047,92256
"Clay County, MS",28025,7537
"Clay County, NC",37043,5383
"Clay County, NE",31035,2513
"Clay County, SD",46027,5100
"Clay County, TN",47027,3000
"Clay County, TX",48077,4019
"Clay County, WV",54015,3148
"Clayton County, GA",13063,95941
"Clayton County, IA",19043,7502
"Clear Creek County, CO",8019,4631
"Clearfield County, PA",42033,30861
"Clearwater County, ID",16035,3594
"Clearwater County, MN",27029,3383
"Cleburne County, AL",1029,5634
"Cleburne County, AR",5023,11171
"Clermont County, OH",39025,78981
"Cleveland County, AR",5025,3178
"Cleveland County, NC",37045,35349
"Cleveland County, OK",40027,109312
"Clinch County, GA",13065,2408
"Clinton County, IA",19045,19255
"Clinton County, IL",17027,14415
"Clinton County, IN",18023,11950
"Clinton County, KY",21053,4000
"Clinton County, MI",26037,29909
"Clinton County, MO",29049,8220
"Clinton County, NY",36019,30860
"Clinton County, OH",39027,16640
"Clinton County, PA",42035,14558
"Cloud County, KS",20029,3619
"Coahoma County, MS",28027,8340
"Coal County, OK",40029,2191
"Coamo Municipio, PR",72043,12939
"Cobb County, GA",13067,284234
"Cochise County, AZ",4003,50158
"Cochran County, TX",48079,974
"Cocke County, TN",47029,13729
"Coconino County, AZ",4005,47773
"Codington County, SD",46029,12123
"Coffee County, AL",1031,20154
"Coffee County, GA",13069,14384
"Coffee County, TN",47031,21823
"Coffey County, KS",20031,3572
"Coke County, TX",48081,1653
"Colbert County, AL",1033,21538
"Cole County, MO",29051,30064
"Coleman County, TX",48083,3420
"Coles County, IL",17029,20727
"Colfax County, NE",31037,3765
"Colfax County, NM",35007,5906
"Colleton County, SC",45029,15200
"Collier County, FL",12021,149917
"Collin County, TX",48085,356556
"Collingsworth County, TX",48087,1001
"Colonial Heights city, VA",51570,6965
"Colorado County, TX",48089,7290
"Colquitt County, GA",13071,15302
"Columbia County, AR",5027,8140
"Columbia County, FL",12023,25906
"Columbia County, GA",13073,47839
"Columbia County, NY",36021,24936
"Columbia County, OR",41009,19864
"Columbia County, PA",42037,26499
"Columbia County, WA",53013,1851
"Columbia County, WI",55021,24688
"Columbiana County, OH",39029,41047
"Columbus County, NC",37047,21758
"Colusa County, CA",6011,7273
"Comal County, TX",48091,54508
"Comanche County, KS",20033,717
"Comanche County, OK",40031,42244
"Comanche County, TX",48093,5558
"Comerío Municipio, PR",72045,5132
"Concho County, TX",48095,947
