Name,FIPS,"# Computers In Household | Households, 2021 [Estimated]"
"San Lorenzo Municipio, PR",72129,13816
"San Luis Obispo County, CA",6079,106484
"San Mateo County, CA",6081,263206
"San Miguel County, CO",8113,3637
"San Miguel County, NM",35047,11981
"San Patricio County, TX",48409,23077
"San Saba County, TX",48411,2072
"San Sebastián Municipio, PR",72131,13517
"Sanborn County, SD",46111,992
"Sanders County, MT",30089,4973
"Sandoval County, NM",35043,52400
"Sandusky County, OH",39143,23408
"Sangamon County, IL",17167,83781
"Sanilac County, MI",26151,18055
"Sanpete County, UT",49039,9003
"Santa Barbara County, CA",6083,146115
"Santa Clara County, CA",6085,645927
"Santa Cruz County, AZ",4023,15722
"Santa Cruz County, CA",6087,95621
"Santa Fe County, NM",35049,62266
"Santa Isabel Municipio, PR",72133,7204
"Santa Rosa County, FL",12113,64704
"Sarasota County, FL",12115,185998
"Saratoga County, NY",36091,96760
"Sargent County, ND",38081,1934
"Sarpy County, NE",31153,67742
"Sauk County, WI",55111,26716
"Saunders County, NE",31155,8668
"Sawyer County, WI",55113,7970
"Schenectady County, NY",36093,51791
"Schleicher County, TX",48413,1094
"Schley County, GA",13249,1868
"Schoharie County, NY",36095,12649
"Schoolcraft County, MI",26153,3416
"Schuyler County, IL",17169,2653
"Schuyler County, MO",29197,1382
"Schuyler County, NY",36097,7083
"Schuylkill County, PA",42107,58654
"Scioto County, OH",39145,29865
"Scotland County, MO",29199,1763
"Scotland County, NC",37165,13011
"Scott County, AR",5127,3822
"Scott County, IA",19163,66178
"Scott County, IL",17171,1843
"Scott County, IN",18143,8965
"Scott County, KS",20171,1838
"Scott County, KY",21209,21393
"Scott County, MN",27139,50362
"Scott County, MO",29201,15318
"Scott County, MS",28123,10513
"Scott County, TN",47151,8755
"Scott County, VA",51169,8373
"Scotts Bluff County, NE",31157,14476
"Screven County, GA",13251,5080
"Scurry County, TX",48415,5803
"Searcy County, AR",5129,3409
"Sebastian County, AR",5131,51289
"Sedgwick County, CO",8115,1002
"Sedgwick County, KS",20173,197717
"Seminole County, FL",12117,181111
"Seminole County, GA",13253,3381
"Seminole County, OK",40133,9322
"Seneca County, NY",36099,13422
"Seneca County, OH",39147,21536
"Sequatchie County, TN",47153,5413
"Sequoyah County, OK",40135,15346
"Sevier County, AR",5133,5743
"Sevier County, TN",47155,37291
"Sevier County, UT",49041,7470
"Seward County, KS",20175,7224
"Seward County, NE",31159,6738
"Shackelford County, TX",48417,1218
"Shannon County, MO",29203,2993
"Sharkey County, MS",28125,1740
"Sharp County, AR",5135,7557
"Shasta County, CA",6089,71431
"Shawano County, WI",55115,17043
"Shawnee County, KS",20177,72314
"Sheboygan County, WI",55117,47792
"Shelby County, AL",1117,81229
"Shelby County, IA",19165,5007
"Shelby County, IL",17173,9207
"Shelby County, IN",18145,17977
"Shelby County, KY",21211,16895
"Shelby County, MO",29205,2398
"Shelby County, OH",39149,18518
"Shelby County, TN",47157,350400
"Shelby County, TX",48419,9241
"Shenandoah County, VA",51171,17446
"Sherburne County, MN",27141,32791
"Sheridan County, KS",20179,1130
"Sheridan County, MT",30091,1648
"Sheridan County, ND",38083,752
"Sheridan County, NE",31161,2252
"Sheridan County, WY",56033,13595
"Sherman County, KS",20181,2443
"Sherman County, NE",31163,1357
"Sherman County, OR",41055,702
"Sherman County, TX",48421,1069
"Shiawassee County, MI",26155,27676
"Shoshone County, ID",16079,5347
"Sibley County, MN",27143,6034
"Sierra County, CA",6091,1278
"Sierra County, NM",35051,5765
"Silver Bow County, MT",30093,14924
"Simpson County, KY",21213,7024
"Simpson County, MS",28127,9224
"Sioux County, IA",19167,12445
"Sioux County, ND",38085,1119
"Sioux County, NE",31165,568
"Siskiyou County, CA",6093,19258
"Sitka City and Borough, AK",2220,3582
"Skagit County, WA",53057,49717
"Skagway Municipality, AK",2230,370
"Skamania County, WA",53059,4930
"Slope County, ND",38087,330
"Smith County, KS",20183,1700
"Smith County, MS",28129,5677
"Smith County, TN",47159,7618
"Smith County, TX",48423,76355
"Smyth County, VA",51173,12629
"Snohomish County, WA",53061,300730
"Snyder County, PA",42109,14905
"Socorro County, NM",35053,4258
"Solano County, CA",6095,151464
"Somerset County, MD",24039,8564
"Somerset County, ME",23025,20992
"Somerset County, NJ",34035,117911
"Somerset County, PA",42111,29646
"Somervell County, TX",48425,3031
"Sonoma County, CA",6097,188618
"Southampton County, VA",51175,6450
"Southeast Fairbanks Census Area, AK",2240,2205
"Spalding County, GA",13255,24957
"Spartanburg County, SC",45083,118783
"Spencer County, IN",18147,8154
"Spencer County, KY",21215,6845
"Spink County, SD",46115,2621
"Spokane County, WA",53063,207144
"Spotsylvania County, VA",51177,44766
"St. Bernard Parish, LA",22087,15172
"St. Charles County, MO",29183,149791
"St. Charles Parish, LA",22089,19219
"St. Clair County, AL",1115,32137
"St. Clair County, IL",17163,103956
"St. Clair County, MI",26147,64751
"St. Clair County, MO",29185,4231
"St. Croix County, WI",55109,34881
"St. Francis County, AR",5123,9286
"St. Francois County, MO",29187,24681
"St. Helena Parish, LA",22091,3690
"St. James Parish, LA",22093,7646
"St. John the Baptist Parish, LA",22095,15181
"St. Johns County, FL",12109,93430
"St. Joseph County, IN",18141,100654
"St. Joseph County, MI",26149,24592
"St. Landry Parish, LA",22097,30072
"St. Lawrence County, NY",36089,41715
"St. Louis County, MN",27137,85710
"St. Louis County, MO",29189,403906
"St. Louis city, MO",29510,141524
"St. Lucie County, FL",12111,116766
"St. Martin Parish, LA",22099,19945
"St. Mary Parish, LA",22101,19418
"St. Mary's County, MD",24037,41687
"St. Tammany Parish, LA",22103,94577
"Stafford County, KS",20185,1786
"Stafford County, VA",51179,48852
"Stanislaus County, CA",6099,174301
"Stanley County, SD",46117,1342
"Stanly County, NC",37167,23291
"Stanton County, KS",20187,722
"Stanton County, NE",31167,2469
"Stark County, IL",17175,2236
"Stark County, ND",38089,13005
"Stark County, OH",39151,153731
"Starke County, IN",18149,8520
"Starr County, TX",48427,16248
"Staunton city, VA",51790,10555
"Ste. Genevieve County, MO",29186,6931
"Stearns County, MN",27145,60393
"Steele County, MN",27147,14714
"Steele County, ND",38091,737
"Stephens County, GA",13257,9721
"Stephens County, OK",40137,16101
"Stephens County, TX",48429,3141
"Stephenson County, IL",17177,19646
"Sterling County, TX",48431,466
"Steuben County, IN",18151,14470
"Steuben County, NY",36101,39206
"Stevens County, KS",20189,1764
"Stevens County, MN",27149,3552
"Stevens County, WA",53065,17326
"Stewart County, GA",13259,1872
"Stewart County, TN",47161,5269
"Stillwater County, MT",30095,3745
"Stoddard County, MO",29207,11279
"Stokes County, NC",37169,19656
"Stone County, AR",5137,4659
"Stone County, MO",29209,12818
"Stone County, MS",28131,6570
"Stonewall County, TX",48433,572
"Storey County, NV",32029,1488
"Story County, IA",19169,38662
"Strafford County, NH",33017,49642
"Stutsman County, ND",38093,8899
"Sublette County, WY",56035,3127
"Suffolk County, MA",25025,314795
"Suffolk County, NY",36103,483147
"Suffolk city, VA",51800,34896
"Sullivan County, IN",18153,7568
"Sullivan County, MO",29211,1903
"Sullivan County, NH",33019,17397
"Sullivan County, NY",36105,27775
"Sullivan County, PA",42113,2752
"Sullivan County, TN",47163,66343
"Sully County, SD",46119,537
"Summers County, WV",54089,5501
"Summit County, CO",8117,10318
"Summit County, OH",39153,224773
"Summit County, UT",49043,14565
"Sumner County, KS",20191,9500
"Sumner County, TN",47165,68914
"Sumter County, AL",1119,5357
"Sumter County, FL",12119,60748
"Sumter County, GA",13261,11703
"Sumter County, SC",45085,41936
"Sunflower County, MS",28133,8237
"Surry County, NC",37171,28957
"Surry County, VA",51181,2796
"Susquehanna County, PA",42115,17142
"Sussex County, DE",10005,97048
"Sussex County, NJ",34037,52553
"Sussex County, VA",51183,4108
"Sutter County, CA",6101,32697
"Sutton County, TX",48435,1432
"Suwannee County, FL",12121,14532
"Swain County, NC",37173,5662
"Sweet Grass County, MT",30097,1662
"Sweetwater County, WY",56037,14920
"Swift County, MN",27151,4258
"Swisher County, TX",48437,2424
"Switzerland County, IN",18155,4513
"Talbot County, GA",13263,2881
"Talbot County, MD",24041,16993
"Taliaferro County, GA",13265,526
"Talladega County, AL",1121,31287
"Tallahatchie County, MS",28135,4597
"Tallapoosa County, AL",1123,16239
"Tama County, IA",19171,6726
"Taney County, MO",29213,22891
"Tangipahoa Parish, LA",22105,48788
"Taos County, NM",35055,11355
"Tarrant County, TX",48439,718879
"Tate County, MS",28137,10487
"Tattnall County, GA",13267,8422
"Taylor County, FL",12123,7152
"Taylor County, GA",13269,3525
"Taylor County, IA",19173,2551
"Taylor County, KY",21217,9678
"Taylor County, TX",48441,49508
"Taylor County, WI",55119,8535
"Taylor County, WV",54091,6472
"Tazewell County, IL",17179,54214
"Tazewell County, VA",51185,15963
"Tehama County, CA",6103,24172
"Telfair County, GA",13271,4460
"Teller County, CO",8119,10666
"Tensas Parish, LA",22107,1733
"Terrebonne Parish, LA",22109,39788
"Terrell County, GA",13273,3323
"Terrell County, TX",48443,365
"Terry County, TX",48445,4039
"Teton County, ID",16081,3784
"Teton County, MT",30099,2561
"Teton County, WY",56039,9599
"Texas County, MO",29215,9851
"Texas County, OK",40139,6437
"Thayer County, NE",31169,2199
"Thomas County, GA",13275,17492
"Thomas County, KS",20193,3398
"Thomas County, NE",31171,271
"Throckmorton County, TX",48447,666
"Thurston County, NE",31173,2237
"Thurston County, WA",53067,112668
"Tift County, GA",13277,15637
"Tillamook County, OR",41057,11126
"Tillman County, OK",40141,2712
"Tioga County, NY",36107,20073
"Tioga County, PA",42117,15993
"Tippah County, MS",28139,7549
"Tippecanoe County, IN",18157,71235
"Tipton County, IN",18159,6302
"Tipton County, TN",47167,21207
"Tishomingo County, MS",28141,7585
"Titus County, TX",48449,10995
"Toa Alta Municipio, PR",72135,21740
"Toa Baja Municipio, PR",72137,26324
"Todd County, KY",21219,4697
"Todd County, MN",27153,9750
"Todd County, SD",46121,2682
"Tolland County, CT",9013,55803
"Tom Green County, TX",48451,43091
"Tompkins County, NY",36109,40065
"Tooele County, UT",49045,21216
"Toole County, MT",30101,1808
"Toombs County, GA",13279,9758
"Torrance County, NM",35057,5861
"Towner County, ND",38095,1086
"Towns County, GA",13281,5195
"Traill County, ND",38097,3413
"Transylvania County, NC",37175,14771
"Traverse County, MN",27155,1649
"Travis County, TX",48453,490679
"Treasure County, MT",30103,356
"Trego County, KS",20195,1434
"Trempealeau County, WI",55121,12056
"Treutlen County, GA",13283,2505
"Trigg County, KY",21221,5862
"Trimble County, KY",21223,3537
"Trinity County, CA",6105,6119
"Trinity County, TX",48455,6476
"Tripp County, SD",46123,2223
"Troup County, GA",13285,25006
"Trousdale County, TN",47169,3261
"Trujillo Alto Municipio, PR",72139,23209
"Trumbull County, OH",39155,84652
"Tucker County, WV",54093,3200
"Tulare County, CA",6107,139024
"Tulsa County, OK",40143,255611
"Tunica County, MS",28143,3898
"Tuolumne County, CA",6109,22490
"Turner County, GA",13287,3143
"Turner County, SD",46125,3475
"Tuscaloosa County, AL",1125,74293
"Tuscarawas County, OH",39157,36417
"Tuscola County, MI",26157,21897
"Twiggs County, GA",13289,3056
"Twin Falls County, ID",16083,31994
"Tyler County, TX",48457,6466
"Tyler County, WV",54095,3020
"Tyrrell County, NC",37177,1696
"Uinta County, WY",56041,7783
"Uintah County, UT",49047,10329
"Ulster County, NY",36111,69048
"Umatilla County, OR",41059,26823
"Unicoi County, TN",47171,7676
"Union County, AR",5139,15234
"Union County, FL",12125,3972
"Union County, GA",13291,10147
"Union County, IA",19175,5062
"Union County, IL",17181,6599
"Union County, IN",18161,2733
"Union County, KY",21225,5293
"Union County, MS",28145,9476
"Union County, NC",37179,78732
"Union County, NJ",34039,190163
"Union County, NM",35059,1263
"Union County, OH",39159,20676
"Union County, OR",41061,10872
"Union County, PA",42119,14379
"Union County, SC",45087,11313
"Union County, SD",46127,6953
"Union County, TN",47173,7284
"Union Parish, LA",22111,7054
"Upshur County, TX",48459,14237
"Upshur County, WV",54097,9866
"Upson County, GA",13293,10129
"Upton County, TX",48461,1393
"Utah County, UT",49049,172935
"Utuado Municipio, PR",72141,9349
"Uvalde County, TX",48463,8909
"Val Verde County, TX",48465,16095
"Valdez-Cordova Census Area, AK",2261,3197
"Valencia County, NM",35061,27297
"Valley County, ID",16085,4047
"Valley County, MT",30105,3484
"Valley County, NE",31175,1833
"Van Buren County, AR",5141,6800
"Van Buren County, IA",19177,2831
"Van Buren County, MI",26159,29710
"Van Buren County, TN",47175,2176
"Van Wert County, OH",39161,11541
"Van Zandt County, TX",48467,20707
"Vance County, NC",37181,16942
"Vanderburgh County, IN",18163,75660
"Vega Alta Municipio, PR",72143,11674
"Vega Baja Municipio, PR",72145,19244
"Venango County, PA",42121,21858
"Ventura County, CA",6111,271346
"Vermilion County, IL",17183,30811
"Vermilion Parish, LA",22113,21712
"Vermillion County, IN",18165,6648
"Vernon County, MO",29217,8228
"Vernon County, WI",55123,12209
"Vernon Parish, LA",22115,17654
"Victoria County, TX",48469,32115
"Vieques Municipio, PR",72147,2050
"Vigo County, IN",18167,42514
"Vilas County, WI",55125,11082
"Villalba Municipio, PR",72149,7686
"Vinton County, OH",39163,5218
"Virginia Beach city, VA",51810,171243
"Volusia County, FL",12127,223357
"Wabash County, IL",17185,4863
"Wabash County, IN",18169,12699
"Wabasha County, MN",27157,8907
"Wabaunsee County, KS",20197,2794
"Wadena County, MN",27159,5655
"Wagoner County, OK",40145,30036
"Wahkiakum County, WA",53069,1951
"Wake County, NC",37183,415303
"Wakulla County, FL",12129,11490
"Waldo County, ME",23027,17298
"Walker County, AL",1127,24579
"Walker County, GA",13295,25701
"Walker County, TX",48471,22554
"Walla Walla County, WA",53071,22963
"Wallace County, KS",20199,641
"Waller County, TX",48473,15654
"Wallowa County, OR",41063,3275
"Walsh County, ND",38099,4721
"Walthall County, MS",28147,5511
"Walton County, FL",12131,29358
"Walton County, GA",13297,32485
"Walworth County, SD",46129,2191
"Walworth County, WI",55127,41172
"Wapello County, IA",19179,14311
"Ward County, ND",38101,28824
"Ward County, TX",48475,4024
"Ware County, GA",13299,13734
"Warren County, GA",13301,2380
"Warren County, IA",19181,19758
"Warren County, IL",17187,6722
"Warren County, IN",18171,3407
"Warren County, KY",21227,49229
"Warren County, MO",29219,12857
"Warren County, MS",28149,18253
"Warren County, NC",37185,7838
"Warren County, NJ",34041,41152
"Warren County, NY",36113,28488
"Warren County, OH",39165,84587
"Warren County, PA",42123,17103
"Warren County, TN",47177,15616
"Warren County, VA",51187,14607
"Warrick County, IN",18173,25069
"Wasatch County, UT",49051,10789
"Wasco County, OR",41065,10554
"Waseca County, MN",27161,7474
"Washakie County, WY",56043,3282
"Washburn County, WI",55129,7181
"Washington County, AL",1129,5873
"Washington County, AR",5143,89400
"Washington County, CO",8121,2128
"Washington County, FL",12133,8977
"Washington County, GA",13303,7554
"Washington County, IA",19183,8674
"Washington County, ID",16087,4169
"Washington County, IL",17189,6105
"Washington County, IN",18175,10911
"Washington County, KS",20201,2255
"Washington County, KY",21229,4633
"Washington County, MD",24043,55652
"Washington County, ME",23029,13568
"Washington County, MN",27163,95448
"Washington County, MO",29221,9281
"Washington County, MS",28151,17952
"Washington County, NC",37187,4888
"Washington County, NE",31177,8233
"Washington County, NY",36115,23739
"Washington County, OH",39167,25184
"Washington County, OK",40147,20207
"Washington County, OR",41067,224402
"Washington County, PA",42125,84805
"Washington County, RI",44009,48672
"Washington County, TN",47179,53989
"Washington County, TX",48477,12901
"Washington County, UT",49053,60866
"Washington County, VA",51191,22045
"Washington County, VT",50023,24897
"Washington County, WI",55131,54848
"Washington Parish, LA",22117,17272
"Washita County, OK",40149,4044
"Washoe County, NV",32031,187528
"Washtenaw County, MI",26161,141478
"Watauga County, NC",37189,21263
"Watonwan County, MN",27165,4197
"Waukesha County, WI",55133,159493
"Waupaca County, WI",55135,22399
"Waushara County, WI",55137,10053
"Wayne County, GA",13305,10508
"Wayne County, IA",19185,2742
"Wayne County, IL",17191,7079
"Wayne County, IN",18177,26198
"Wayne County, KY",21231,8319
"Wayne County, MI",26163,682447
"Wayne County, MO",29223,5390
"Wayne County, MS",28153,7650
"Wayne County, NC",37191,48602
"Wayne County, NE",31179,3777
"Wayne County, NY",36117,36551
"Wayne County, OH",39169,43789
"Wayne County, PA",42127,18403
"Wayne County, TN",47181,5681
"Wayne County, UT",49055,1031
"Wayne County, WV",54099,14544
"Waynesboro city, VA",51820,9117
"Weakley County, TN",47183,13611
"Webb County, TX",48479,77278
"Weber County, UT",49057,84531
"Webster County, GA",13307,1176
"Webster County, IA",19187,15128
"Webster County, KY",21233,4847
"Webster County, MO",29225,13841
"Webster County, MS",28155,3592
"Webster County, NE",31181,1475
"Webster County, WV",54101,3661
"Webster Parish, LA",22119,16741
"Weld County, CO",8123,109419
"Wells County, IN",18179,10874
"Wells County, ND",38103,1905
"West Baton Rouge Parish, LA",22121,9928
"West Carroll Parish, LA",22123,3915
"West Feliciana Parish, LA",22125,3876
"Westchester County, NY",36119,350226
"Westmoreland County, PA",42129,152223
"Westmoreland County, VA",51193,8372
"Weston County, WY",56045,2944
"Wetzel County, WV",54103,5322
"Wexford County, MI",26165,13145
"Wharton County, TX",48481,15487
"Whatcom County, WA",53073,89492
"Wheatland County, MT",30107,743
"Wheeler County, GA",13309,1797
"Wheeler County, NE",31183,327
"Wheeler County, OR",41069,629
"Wheeler County, TX",48483,2149
"White County, AR",5145,28955
"White County, GA",13311,11902
"White County, IL",17193,5973
"White County, IN",18181,9948
"White County, TN",47185,10142
"White Pine County, NV",32033,3736
"Whiteside County, IL",17195,22794
"Whitfield County, GA",13313,36011
"Whitley County, IN",18183,13907
"Whitley County, KY",21235,12184
"Whitman County, WA",53075,18327
"Wibaux County, MT",30109,527
"Wichita County, KS",20203,1016
"Wichita County, TX",48485,47919
"Wicomico County, MD",24045,37912
"Wilbarger County, TX",48487,5077
"Wilcox County, AL",1131,3836
"Wilcox County, GA",13315,2486
"Wilkes County, GA",13317,3865
"Wilkes County, NC",37193,28965
"Wilkin County, MN",27167,2798
"Wilkinson County, GA",13319,3134
"Wilkinson County, MS",28157,2981
"Will County, IL",17197,230748
"Willacy County, TX",48489,5919
"Williams County, ND",38105,15380
"Williams County, OH",39171,14957
"Williamsburg County, SC",45089,13026
"Williamsburg city, VA",51830,4787
"Williamson County, IL",17199,27104
"Williamson County, TN",47187,81391
"Williamson County, TX",48491,187917
"Wilson County, KS",20205,3724
"Wilson County, NC",37195,31887
"Wilson County, TN",47189,52188
"Wilson County, TX",48493,15951
"Winchester city, VA",51840,10306
"Windham County, CT",9015,44737
"Windham County, VT",50025,18941
"Windsor County, VT",50027,24079
"Winkler County, TX",48495,2519
"Winn Parish, LA",22127,5396
"Winnebago County, IA",19189,4534
"Winnebago County, IL",17201,113993
"Winnebago County, WI",55139,70974
"Winneshiek County, IA",19191,8204
"Winona County, MN",27169,19629
"Winston County, AL",1133,9559
"Winston County, MS",28159,7057
"Wirt County, WV",54105,2544
"Wise County, TX",48497,22976
"Wise County, VA",51195,14785
"Wolfe County, KY",21237,2824
"Wood County, OH",39173,50502
"Wood County, TX",48499,16705
"Wood County, WI",55141,32412
"Wood County, WV",54107,35204
"Woodbury County, IA",19193,38996
"Woodford County, IL",17203,14553
"Woodford County, KY",21239,10505
"Woodruff County, AR",5147,2907
"Woods County, OK",40151,3223
"Woodson County, KS",20207,1400
"Woodward County, OK",40153,7421
"Worcester County, MA",25027,311605
"Worcester County, MD",24047,22577
"Worth County, GA",13321,7972
"Worth County, IA",19195,3152
"Worth County, MO",29227,826
"Wrangell City and Borough, AK",2275,1002
"Wright County, IA",19197,5723
"Wright County, MN",27171,49328
"Wright County, MO",29229,6944
"Wyandot County, OH",39175,8894
"Wyandotte County, KS",20209,60305
"Wyoming County, NY",36121,15784
"Wyoming County, PA",42131,10712
"Wyoming County, WV",54109,8558
"Wythe County, VA",51197,11921
"Yabucoa Municipio, PR",72151,11246
"Yadkin County, NC",37197,15405
"Yakima County, WA",53077,83766
"Yakutat City and Borough, AK",2282,209
"Yalobusha County, MS",28161,5210
"Yamhill County, OR",41071,37642
"Yancey County, NC",37199,7499
"Yankton County, SD",46135,9647
"Yates County, NY",36123,8451
"Yauco Municipio, PR",72153,11208
"Yavapai County, AZ",4025,100458
"Yazoo County, MS",28163,8510
"Yell County, AR",5149,7390
"Yellow Medicine County, MN",27173,4051
"Yellowstone County, MT",30111,68316
"Yoakum County, TX",48501,2579
"Yolo County, CA",6113,74668
"York County, ME",23031,86438
"York County, NE",31185,5681
"York County, PA",42133,173400
"York County, SC",45091,105976
"York County, VA",51199,25290
"Young County, TX",48503,7261
"Yuba County, CA",6115,26725
"Yukon-Koyukuk Census Area, AK",2290,1802
"Yuma County, AZ",4027,74091
"Yuma County, CO",8125,4145
"Zapata County, TX",48505,4422
"Zavala County, TX",48507,3378
"Ziebach County, SD",46137,708
